REF_DATE,Type of currency,VALUE
2023-01-01,"Australian dollar, daily average",
2023-01-02,"Australian dollar, daily average",
2023-01-03,"Australian dollar, daily average",0.9196
2023-01-04,"Australian dollar, daily average",0.9256
2023-01-05,"Australian dollar, daily average",0.9171
2023-01-06,"Australian dollar, daily average",0.922
2023-01-07,"Australian dollar, daily average",
2023-01-08,"Australian dollar, daily average",
2023-01-09,"Australian dollar, daily average",0.9274
2023-01-10,"Australian dollar, daily average",0.9241
2023-01-11,"Australian dollar, daily average",0.9265
2023-01-12,"Australian dollar, daily average",0.9303
2023-01-13,"Australian dollar, daily average",0.9326
2023-01-14,"Australian dollar, daily average",
2023-01-15,"Australian dollar, daily average",
2023-01-16,"Australian dollar, daily average",0.9321
2023-01-17,"Australian dollar, daily average",0.9343
2023-01-18,"Australian dollar, daily average",0.9391
2023-01-19,"Australian dollar, daily average",0.93
2023-01-20,"Australian dollar, daily average",0.9331
2023-01-21,"Australian dollar, daily average",
2023-01-22,"Australian dollar, daily average",
2023-01-23,"Australian dollar, daily average",0.9383
2023-01-24,"Australian dollar, daily average",0.9409
2023-01-25,"Australian dollar, daily average",0.949
2023-01-26,"Australian dollar, daily average",0.9486
2023-01-27,"Australian dollar, daily average",0.9462
2023-01-28,"Australian dollar, daily average",
2023-01-29,"Australian dollar, daily average",
2023-01-30,"Australian dollar, daily average",0.9443
2023-01-31,"Australian dollar, daily average",0.9401
2023-02-01,"Australian dollar, daily average",0.9435
2023-02-02,"Australian dollar, daily average",0.9445
2023-02-03,"Australian dollar, daily average",0.9317
2023-02-04,"Australian dollar, daily average",
2023-02-05,"Australian dollar, daily average",
2023-02-06,"Australian dollar, daily average",0.9247
2023-02-07,"Australian dollar, daily average",0.93
2023-02-08,"Australian dollar, daily average",0.9318
2023-02-09,"Australian dollar, daily average",0.9351
2023-02-10,"Australian dollar, daily average",0.9252
2023-02-11,"Australian dollar, daily average",
2023-02-12,"Australian dollar, daily average",
2023-02-13,"Australian dollar, daily average",0.9284
2023-02-14,"Australian dollar, daily average",0.9311
2023-02-15,"Australian dollar, daily average",0.9238
2023-02-16,"Australian dollar, daily average",0.9256
2023-02-17,"Australian dollar, daily average",0.9254
2023-02-18,"Australian dollar, daily average",
2023-02-19,"Australian dollar, daily average",
2023-02-20,"Australian dollar, daily average",
2023-02-21,"Australian dollar, daily average",0.9278
2023-02-22,"Australian dollar, daily average",0.9234
2023-02-23,"Australian dollar, daily average",0.9222
2023-02-24,"Australian dollar, daily average",0.9168
2023-02-25,"Australian dollar, daily average",
2023-02-26,"Australian dollar, daily average",
2023-02-27,"Australian dollar, daily average",0.9135
2023-02-28,"Australian dollar, daily average",0.9173
2023-03-01,"Australian dollar, daily average",0.9196
2023-03-02,"Australian dollar, daily average",0.9152
2023-03-03,"Australian dollar, daily average",0.9197
2023-03-04,"Australian dollar, daily average",
2023-03-05,"Australian dollar, daily average",
2023-03-06,"Australian dollar, daily average",0.9165
2023-03-07,"Australian dollar, daily average",0.9071
2023-03-08,"Australian dollar, daily average",0.9096
2023-03-09,"Australian dollar, daily average",0.9114
2023-03-10,"Australian dollar, daily average",0.9119
2023-03-11,"Australian dollar, daily average",
2023-03-12,"Australian dollar, daily average",
2023-03-13,"Australian dollar, daily average",0.9159
2023-03-14,"Australian dollar, daily average",0.9131
2023-03-15,"Australian dollar, daily average",0.912
2023-03-16,"Australian dollar, daily average",0.9138
2023-03-17,"Australian dollar, daily average",0.9196
2023-03-18,"Australian dollar, daily average",
2023-03-19,"Australian dollar, daily average",
2023-03-20,"Australian dollar, daily average",0.9179
2023-03-21,"Australian dollar, daily average",0.9135
2023-03-22,"Australian dollar, daily average",0.9171
2023-03-23,"Australian dollar, daily average",0.9169
2023-03-24,"Australian dollar, daily average",0.9142
2023-03-25,"Australian dollar, daily average",
2023-03-26,"Australian dollar, daily average",
2023-03-27,"Australian dollar, daily average",0.9091
2023-03-28,"Australian dollar, daily average",0.9124
2023-03-29,"Australian dollar, daily average",0.907
2023-03-30,"Australian dollar, daily average",0.9071
2023-03-31,"Australian dollar, daily average",0.906
2023-04-01,"Australian dollar, daily average",
2023-04-02,"Australian dollar, daily average",
2023-04-03,"Australian dollar, daily average",0.9107
2023-04-04,"Australian dollar, daily average",0.9065
2023-04-05,"Australian dollar, daily average",0.9036
2023-04-06,"Australian dollar, daily average",0.8995
2023-04-07,"Australian dollar, daily average",
2023-04-08,"Australian dollar, daily average",
2023-04-09,"Australian dollar, daily average",
2023-04-10,"Australian dollar, daily average",0.8972
2023-04-11,"Australian dollar, daily average",0.8971
2023-04-12,"Australian dollar, daily average",0.9002
2023-04-13,"Australian dollar, daily average",0.905
2023-04-14,"Australian dollar, daily average",0.8982
2023-04-15,"Australian dollar, daily average",
2023-04-16,"Australian dollar, daily average",
2023-04-17,"Australian dollar, daily average",0.8971
2023-04-18,"Australian dollar, daily average",0.9008
2023-04-19,"Australian dollar, daily average",0.9034
2023-04-20,"Australian dollar, daily average",0.9089
2023-04-21,"Australian dollar, daily average",0.9062
2023-04-22,"Australian dollar, daily average",
2023-04-23,"Australian dollar, daily average",
2023-04-24,"Australian dollar, daily average",0.9055
2023-04-25,"Australian dollar, daily average",0.9033
2023-04-26,"Australian dollar, daily average",0.9
2023-04-27,"Australian dollar, daily average",0.9009
2023-04-28,"Australian dollar, daily average",0.8968
2023-04-29,"Australian dollar, daily average",
2023-04-30,"Australian dollar, daily average",
2023-05-01,"Australian dollar, daily average",0.8996
2023-05-02,"Australian dollar, daily average",0.9087
2023-05-03,"Australian dollar, daily average",0.9084
2023-05-04,"Australian dollar, daily average",0.9066
2023-05-05,"Australian dollar, daily average",0.9049
2023-05-06,"Australian dollar, daily average",
2023-05-07,"Australian dollar, daily average",
2023-05-08,"Australian dollar, daily average",0.9068
2023-05-09,"Australian dollar, daily average",0.9048
2023-05-10,"Australian dollar, daily average",0.9055
2023-05-11,"Australian dollar, daily average",0.9035
2023-05-12,"Australian dollar, daily average",0.9007
2023-05-13,"Australian dollar, daily average",
2023-05-14,"Australian dollar, daily average",
2023-05-15,"Australian dollar, daily average",0.9029
2023-05-16,"Australian dollar, daily average",0.8966
2023-05-17,"Australian dollar, daily average",0.8965
2023-05-18,"Australian dollar, daily average",0.8932
2023-05-19,"Australian dollar, daily average",0.899
2023-05-20,"Australian dollar, daily average",
2023-05-21,"Australian dollar, daily average",
2023-05-22,"Australian dollar, daily average",
2023-05-23,"Australian dollar, daily average",0.8937
2023-05-24,"Australian dollar, daily average",0.8892
2023-05-25,"Australian dollar, daily average",0.8871
2023-05-26,"Australian dollar, daily average",0.8879
2023-05-27,"Australian dollar, daily average",
2023-05-28,"Australian dollar, daily average",
2023-05-29,"Australian dollar, daily average",0.8889
2023-05-30,"Australian dollar, daily average",0.8865
2023-05-31,"Australian dollar, daily average",0.8814
2023-06-01,"Australian dollar, daily average",0.8843
2023-06-02,"Australian dollar, daily average",0.8888
2023-06-03,"Australian dollar, daily average",
2023-06-04,"Australian dollar, daily average",
2023-06-05,"Australian dollar, daily average",0.8888
2023-06-06,"Australian dollar, daily average",0.8943
2023-06-07,"Australian dollar, daily average",0.8921
2023-06-08,"Australian dollar, daily average",0.8961
2023-06-09,"Australian dollar, daily average",0.8991
2023-06-10,"Australian dollar, daily average",
2023-06-11,"Australian dollar, daily average",
2023-06-12,"Australian dollar, daily average",0.9024
2023-06-13,"Australian dollar, daily average",0.9021
2023-06-14,"Australian dollar, daily average",0.9059
2023-06-15,"Australian dollar, daily average",0.909
2023-06-16,"Australian dollar, daily average",0.9068
2023-06-17,"Australian dollar, daily average",
2023-06-18,"Australian dollar, daily average",
2023-06-19,"Australian dollar, daily average",0.9042
2023-06-20,"Australian dollar, daily average",0.897
2023-06-21,"Australian dollar, daily average",0.8937
2023-06-22,"Australian dollar, daily average",0.8896
2023-06-23,"Australian dollar, daily average",0.8816
2023-06-24,"Australian dollar, daily average",
2023-06-25,"Australian dollar, daily average",
2023-06-26,"Australian dollar, daily average",0.8783
2023-06-27,"Australian dollar, daily average",0.8814
2023-06-28,"Australian dollar, daily average",0.8766
2023-06-29,"Australian dollar, daily average",0.8777
2023-06-30,"Australian dollar, daily average",0.8814
2023-07-01,"Australian dollar, daily average",
2023-07-02,"Australian dollar, daily average",
2023-07-03,"Australian dollar, daily average",
2023-07-04,"Australian dollar, daily average",0.8851
2023-07-05,"Australian dollar, daily average",0.8846
2023-07-06,"Australian dollar, daily average",0.8845
2023-07-07,"Australian dollar, daily average",0.8876
2023-07-08,"Australian dollar, daily average",
2023-07-09,"Australian dollar, daily average",
2023-07-10,"Australian dollar, daily average",0.8849
2023-07-11,"Australian dollar, daily average",0.8838
2023-07-12,"Australian dollar, daily average",0.8937
2023-07-13,"Australian dollar, daily average",0.9031
2023-07-14,"Australian dollar, daily average",0.9029
2023-07-15,"Australian dollar, daily average",
2023-07-16,"Australian dollar, daily average",
2023-07-17,"Australian dollar, daily average",0.8988
2023-07-18,"Australian dollar, daily average",0.8983
2023-07-19,"Australian dollar, daily average",0.8916
2023-07-20,"Australian dollar, daily average",0.8943
2023-07-21,"Australian dollar, daily average",0.8896
2023-07-22,"Australian dollar, daily average",
2023-07-23,"Australian dollar, daily average",
2023-07-24,"Australian dollar, daily average",0.8879
2023-07-25,"Australian dollar, daily average",0.894
2023-07-26,"Australian dollar, daily average",0.8925
2023-07-27,"Australian dollar, daily average",0.8894
2023-07-28,"Australian dollar, daily average",0.8814
2023-07-29,"Australian dollar, daily average",
2023-07-30,"Australian dollar, daily average",
2023-07-31,"Australian dollar, daily average",0.8858
2023-08-01,"Australian dollar, daily average",0.8786
2023-08-02,"Australian dollar, daily average",0.8735
2023-08-03,"Australian dollar, daily average",0.8739
2023-08-04,"Australian dollar, daily average",0.8799
2023-08-05,"Australian dollar, daily average",
2023-08-06,"Australian dollar, daily average",
2023-08-07,"Australian dollar, daily average",
2023-08-08,"Australian dollar, daily average",0.8774
2023-08-09,"Australian dollar, daily average",0.8775
2023-08-10,"Australian dollar, daily average",0.8789
2023-08-11,"Australian dollar, daily average",0.8741
2023-08-12,"Australian dollar, daily average",
2023-08-13,"Australian dollar, daily average",
2023-08-14,"Australian dollar, daily average",0.873
2023-08-15,"Australian dollar, daily average",0.8726
2023-08-16,"Australian dollar, daily average",0.8706
2023-08-17,"Australian dollar, daily average",0.868
2023-08-18,"Australian dollar, daily average",0.8681
2023-08-19,"Australian dollar, daily average",
2023-08-20,"Australian dollar, daily average",
2023-08-21,"Australian dollar, daily average",0.8677
2023-08-22,"Australian dollar, daily average",0.8706
2023-08-23,"Australian dollar, daily average",0.8752
2023-08-24,"Australian dollar, daily average",0.8721
2023-08-25,"Australian dollar, daily average",0.8725
2023-08-26,"Australian dollar, daily average",
2023-08-27,"Australian dollar, daily average",
2023-08-28,"Australian dollar, daily average",0.8733
2023-08-29,"Australian dollar, daily average",0.8768
2023-08-30,"Australian dollar, daily average",0.8784
2023-08-31,"Australian dollar, daily average",0.8762
2023-09-01,"Australian dollar, daily average",0.8775
2023-09-02,"Australian dollar, daily average",
2023-09-03,"Australian dollar, daily average",
2023-09-04,"Australian dollar, daily average",
2023-09-05,"Australian dollar, daily average",0.8691
2023-09-06,"Australian dollar, daily average",0.8714
2023-09-07,"Australian dollar, daily average",0.8724
2023-09-08,"Australian dollar, daily average",0.8704
2023-09-09,"Australian dollar, daily average",
2023-09-10,"Australian dollar, daily average",
2023-09-11,"Australian dollar, daily average",0.8739
2023-09-12,"Australian dollar, daily average",0.8706
2023-09-13,"Australian dollar, daily average",0.87
2023-09-14,"Australian dollar, daily average",0.8705
2023-09-15,"Australian dollar, daily average",0.8711
2023-09-16,"Australian dollar, daily average",
2023-09-17,"Australian dollar, daily average",
2023-09-18,"Australian dollar, daily average",0.8681
2023-09-19,"Australian dollar, daily average",0.8674
2023-09-20,"Australian dollar, daily average",0.8713
2023-09-21,"Australian dollar, daily average",0.8653
2023-09-22,"Australian dollar, daily average",0.8685
2023-09-23,"Australian dollar, daily average",
2023-09-24,"Australian dollar, daily average",
2023-09-25,"Australian dollar, daily average",0.8649
2023-09-26,"Australian dollar, daily average",0.8655
2023-09-27,"Australian dollar, daily average",0.8602
2023-09-28,"Australian dollar, daily average",0.8654
2023-09-29,"Australian dollar, daily average",0.8723
2023-09-30,"Australian dollar, daily average",
2023-10-01,"Australian dollar, daily average",
2023-10-02,"Australian dollar, daily average",
2023-10-03,"Australian dollar, daily average",0.864
2023-10-04,"Australian dollar, daily average",0.8696
2023-10-05,"Australian dollar, daily average",0.8727
2023-10-06,"Australian dollar, daily average",0.8716
2023-10-07,"Australian dollar, daily average",
2023-10-08,"Australian dollar, daily average",
2023-10-09,"Australian dollar, daily average",
2023-10-10,"Australian dollar, daily average",0.872
2023-10-11,"Australian dollar, daily average",0.8719
2023-10-12,"Australian dollar, daily average",0.8658
2023-10-13,"Australian dollar, daily average",0.8611
2023-10-14,"Australian dollar, daily average",
2023-10-15,"Australian dollar, daily average",
2023-10-16,"Australian dollar, daily average",0.8627
2023-10-17,"Australian dollar, daily average",0.8682
2023-10-18,"Australian dollar, daily average",0.8686
2023-10-19,"Australian dollar, daily average",0.8681
2023-10-20,"Australian dollar, daily average",0.8649
2023-10-21,"Australian dollar, daily average",
2023-10-22,"Australian dollar, daily average",
2023-10-23,"Australian dollar, daily average",0.8668
2023-10-24,"Australian dollar, daily average",0.8727
2023-10-25,"Australian dollar, daily average",0.8718
2023-10-26,"Australian dollar, daily average",0.8731
2023-10-27,"Australian dollar, daily average",0.8794
2023-10-28,"Australian dollar, daily average",
2023-10-29,"Australian dollar, daily average",
2023-10-30,"Australian dollar, daily average",0.8816
2023-10-31,"Australian dollar, daily average",0.8791
2023-11-01,"Australian dollar, daily average",0.8837
2023-11-02,"Australian dollar, daily average",0.8858
2023-11-03,"Australian dollar, daily average",0.8896
2023-11-04,"Australian dollar, daily average",
2023-11-05,"Australian dollar, daily average",
2023-11-06,"Australian dollar, daily average",0.8885
2023-11-07,"Australian dollar, daily average",0.8837
2023-11-08,"Australian dollar, daily average",0.8852
2023-11-09,"Australian dollar, daily average",0.8825
2023-11-10,"Australian dollar, daily average",0.8782
2023-11-11,"Australian dollar, daily average",
2023-11-12,"Australian dollar, daily average",
2023-11-13,"Australian dollar, daily average",
2023-11-14,"Australian dollar, daily average",0.8896
2023-11-15,"Australian dollar, daily average",0.8905
2023-11-16,"Australian dollar, daily average",0.8908
2023-11-17,"Australian dollar, daily average",0.8924
2023-11-18,"Australian dollar, daily average",
2023-11-19,"Australian dollar, daily average",
2023-11-20,"Australian dollar, daily average",0.8995
2023-11-21,"Australian dollar, daily average",0.8993
2023-11-22,"Australian dollar, daily average",0.8975
2023-11-23,"Australian dollar, daily average",0.8986
2023-11-24,"Australian dollar, daily average",0.8969
2023-11-25,"Australian dollar, daily average",
2023-11-26,"Australian dollar, daily average",
2023-11-27,"Australian dollar, daily average",0.8999
2023-11-28,"Australian dollar, daily average",0.9017
2023-11-29,"Australian dollar, daily average",0.8996
2023-11-30,"Australian dollar, daily average",0.8973
2023-12-01,"Australian dollar, daily average",0.8983
2023-12-02,"Australian dollar, daily average",
2023-12-03,"Australian dollar, daily average",
2023-12-04,"Australian dollar, daily average",0.8967
2023-12-05,"Australian dollar, daily average",0.8903
2023-12-06,"Australian dollar, daily average",0.8918
2023-12-07,"Australian dollar, daily average",0.8965
2023-12-08,"Australian dollar, daily average",0.8941
2023-12-09,"Australian dollar, daily average",
2023-12-10,"Australian dollar, daily average",
2023-12-11,"Australian dollar, daily average",0.8907
2023-12-12,"Australian dollar, daily average",0.892
2023-12-13,"Australian dollar, daily average",0.8941
2023-12-14,"Australian dollar, daily average",0.8994
2023-12-15,"Australian dollar, daily average",0.8968
2023-12-16,"Australian dollar, daily average",
2023-12-17,"Australian dollar, daily average",
2023-12-18,"Australian dollar, daily average",0.8978
2023-12-19,"Australian dollar, daily average",0.9019
2023-12-20,"Australian dollar, daily average",0.9015
2023-12-21,"Australian dollar, daily average",0.9031
2023-12-22,"Australian dollar, daily average",0.9029
2023-12-23,"Australian dollar, daily average",
2023-12-24,"Australian dollar, daily average",
2023-12-25,"Australian dollar, daily average",
2023-12-26,"Australian dollar, daily average",
2023-12-27,"Australian dollar, daily average",0.9036
2023-12-28,"Australian dollar, daily average",0.9038
2023-12-29,"Australian dollar, daily average",0.9001
2023-12-30,"Australian dollar, daily average",
2023-12-31,"Australian dollar, daily average",
2023-01-01,"Chinese renminbi, daily average",
2023-01-02,"Chinese renminbi, daily average",
2023-01-03,"Chinese renminbi, daily average",0.1976
2023-01-04,"Chinese renminbi, daily average",0.1961
2023-01-05,"Chinese renminbi, daily average",0.1971
2023-01-06,"Chinese renminbi, daily average",0.1971
2023-01-07,"Chinese renminbi, daily average",
2023-01-08,"Chinese renminbi, daily average",
2023-01-09,"Chinese renminbi, daily average",0.1975
2023-01-10,"Chinese renminbi, daily average",0.198
2023-01-11,"Chinese renminbi, daily average",0.1983
2023-01-12,"Chinese renminbi, daily average",0.1985
2023-01-13,"Chinese renminbi, daily average",0.1998
2023-01-14,"Chinese renminbi, daily average",
2023-01-15,"Chinese renminbi, daily average",
2023-01-16,"Chinese renminbi, daily average",0.199
2023-01-17,"Chinese renminbi, daily average",0.1977
2023-01-18,"Chinese renminbi, daily average",0.1991
2023-01-19,"Chinese renminbi, daily average",0.1988
2023-01-20,"Chinese renminbi, daily average",0.1978
2023-01-21,"Chinese renminbi, daily average",
2023-01-22,"Chinese renminbi, daily average",
2023-01-23,"Chinese renminbi, daily average",0.1972
2023-01-24,"Chinese renminbi, daily average",0.1971
2023-01-25,"Chinese renminbi, daily average",0.1974
2023-01-26,"Chinese renminbi, daily average",0.1968
2023-01-27,"Chinese renminbi, daily average",0.1962
2023-01-28,"Chinese renminbi, daily average",
2023-01-29,"Chinese renminbi, daily average",
2023-01-30,"Chinese renminbi, daily average",0.1979
2023-01-31,"Chinese renminbi, daily average",0.1976
2023-02-01,"Chinese renminbi, daily average",0.1976
2023-02-02,"Chinese renminbi, daily average",0.1978
2023-02-03,"Chinese renminbi, daily average",0.1978
2023-02-04,"Chinese renminbi, daily average",
2023-02-05,"Chinese renminbi, daily average",
2023-02-06,"Chinese renminbi, daily average",0.1979
2023-02-07,"Chinese renminbi, daily average",0.1978
2023-02-08,"Chinese renminbi, daily average",0.1978
2023-02-09,"Chinese renminbi, daily average",0.1981
2023-02-10,"Chinese renminbi, daily average",0.1962
2023-02-11,"Chinese renminbi, daily average",
2023-02-12,"Chinese renminbi, daily average",
2023-02-13,"Chinese renminbi, daily average",0.1955
2023-02-14,"Chinese renminbi, daily average",0.1956
2023-02-15,"Chinese renminbi, daily average",0.1957
2023-02-16,"Chinese renminbi, daily average",0.1959
2023-02-17,"Chinese renminbi, daily average",0.1963
2023-02-18,"Chinese renminbi, daily average",
2023-02-19,"Chinese renminbi, daily average",
2023-02-20,"Chinese renminbi, daily average",
2023-02-21,"Chinese renminbi, daily average",0.1966
2023-02-22,"Chinese renminbi, daily average",0.1965
2023-02-23,"Chinese renminbi, daily average",0.1962
2023-02-24,"Chinese renminbi, daily average",0.1959
2023-02-25,"Chinese renminbi, daily average",
2023-02-26,"Chinese renminbi, daily average",
2023-02-27,"Chinese renminbi, daily average",0.1954
2023-02-28,"Chinese renminbi, daily average",0.1963
2023-03-01,"Chinese renminbi, daily average",0.1982
2023-03-02,"Chinese renminbi, daily average",0.1969
2023-03-03,"Chinese renminbi, daily average",0.197
2023-03-04,"Chinese renminbi, daily average",
2023-03-05,"Chinese renminbi, daily average",
2023-03-06,"Chinese renminbi, daily average",0.1964
2023-03-07,"Chinese renminbi, daily average",0.1972
2023-03-08,"Chinese renminbi, daily average",0.1983
2023-03-09,"Chinese renminbi, daily average",0.198
2023-03-10,"Chinese renminbi, daily average",0.1996
2023-03-11,"Chinese renminbi, daily average",
2023-03-12,"Chinese renminbi, daily average",
2023-03-13,"Chinese renminbi, daily average",0.2004
2023-03-14,"Chinese renminbi, daily average",0.199
2023-03-15,"Chinese renminbi, daily average",0.1996
2023-03-16,"Chinese renminbi, daily average",0.1992
2023-03-17,"Chinese renminbi, daily average",0.1994
2023-03-18,"Chinese renminbi, daily average",
2023-03-19,"Chinese renminbi, daily average",
2023-03-20,"Chinese renminbi, daily average",0.1988
2023-03-21,"Chinese renminbi, daily average",0.1992
2023-03-22,"Chinese renminbi, daily average",0.1992
2023-03-23,"Chinese renminbi, daily average",0.2004
2023-03-24,"Chinese renminbi, daily average",0.2004
2023-03-25,"Chinese renminbi, daily average",
2023-03-26,"Chinese renminbi, daily average",
2023-03-27,"Chinese renminbi, daily average",0.1987
2023-03-28,"Chinese renminbi, daily average",0.1982
2023-03-29,"Chinese renminbi, daily average",0.1971
2023-03-30,"Chinese renminbi, daily average",0.1969
2023-03-31,"Chinese renminbi, daily average",0.197
2023-04-01,"Chinese renminbi, daily average",
2023-04-02,"Chinese renminbi, daily average",
2023-04-03,"Chinese renminbi, daily average",0.1953
2023-04-04,"Chinese renminbi, daily average",0.1954
2023-04-05,"Chinese renminbi, daily average",0.1956
2023-04-06,"Chinese renminbi, daily average",0.196
2023-04-07,"Chinese renminbi, daily average",
2023-04-08,"Chinese renminbi, daily average",
2023-04-09,"Chinese renminbi, daily average",
2023-04-10,"Chinese renminbi, daily average",0.1966
2023-04-11,"Chinese renminbi, daily average",0.1958
2023-04-12,"Chinese renminbi, daily average",0.1956
2023-04-13,"Chinese renminbi, daily average",0.1945
2023-04-14,"Chinese renminbi, daily average",0.1946
2023-04-15,"Chinese renminbi, daily average",
2023-04-16,"Chinese renminbi, daily average",
2023-04-17,"Chinese renminbi, daily average",0.1948
2023-04-18,"Chinese renminbi, daily average",0.1947
2023-04-19,"Chinese renminbi, daily average",0.1952
2023-04-20,"Chinese renminbi, daily average",0.1959
2023-04-21,"Chinese renminbi, daily average",0.1964
2023-04-22,"Chinese renminbi, daily average",
2023-04-23,"Chinese renminbi, daily average",
2023-04-24,"Chinese renminbi, daily average",0.1964
2023-04-25,"Chinese renminbi, daily average",0.1966
2023-04-26,"Chinese renminbi, daily average",0.1967
2023-04-27,"Chinese renminbi, daily average",0.1966
2023-04-28,"Chinese renminbi, daily average",0.1964
2023-04-29,"Chinese renminbi, daily average",
2023-04-30,"Chinese renminbi, daily average",
2023-05-01,"Chinese renminbi, daily average",0.196
2023-05-02,"Chinese renminbi, daily average",0.197
2023-05-03,"Chinese renminbi, daily average",0.197
2023-05-04,"Chinese renminbi, daily average",0.1963
2023-05-05,"Chinese renminbi, daily average",0.1942
2023-05-06,"Chinese renminbi, daily average",
2023-05-07,"Chinese renminbi, daily average",
2023-05-08,"Chinese renminbi, daily average",0.1931
2023-05-09,"Chinese renminbi, daily average",0.1935
2023-05-10,"Chinese renminbi, daily average",0.193
2023-05-11,"Chinese renminbi, daily average",0.194
2023-05-12,"Chinese renminbi, daily average",0.1946
2023-05-13,"Chinese renminbi, daily average",
2023-05-14,"Chinese renminbi, daily average",
2023-05-15,"Chinese renminbi, daily average",0.194
2023-05-16,"Chinese renminbi, daily average",0.1929
2023-05-17,"Chinese renminbi, daily average",0.1924
2023-05-18,"Chinese renminbi, daily average",0.1919
2023-05-19,"Chinese renminbi, daily average",0.1926
2023-05-20,"Chinese renminbi, daily average",
2023-05-21,"Chinese renminbi, daily average",
2023-05-22,"Chinese renminbi, daily average",
2023-05-23,"Chinese renminbi, daily average",0.1915
2023-05-24,"Chinese renminbi, daily average",0.1925
2023-05-25,"Chinese renminbi, daily average",0.1926
2023-05-26,"Chinese renminbi, daily average",0.1929
2023-05-27,"Chinese renminbi, daily average",
2023-05-28,"Chinese renminbi, daily average",
2023-05-29,"Chinese renminbi, daily average",0.1922
2023-05-30,"Chinese renminbi, daily average",0.1921
2023-05-31,"Chinese renminbi, daily average",0.1913
2023-06-01,"Chinese renminbi, daily average",0.1899
2023-06-02,"Chinese renminbi, daily average",0.1897
2023-06-03,"Chinese renminbi, daily average",
2023-06-04,"Chinese renminbi, daily average",
2023-06-05,"Chinese renminbi, daily average",0.189
2023-06-06,"Chinese renminbi, daily average",0.1885
2023-06-07,"Chinese renminbi, daily average",0.1878
2023-06-08,"Chinese renminbi, daily average",0.1877
2023-06-09,"Chinese renminbi, daily average",0.1871
2023-06-10,"Chinese renminbi, daily average",
2023-06-11,"Chinese renminbi, daily average",
2023-06-12,"Chinese renminbi, daily average",0.1871
2023-06-13,"Chinese renminbi, daily average",0.186
2023-06-14,"Chinese renminbi, daily average",0.1859
2023-06-15,"Chinese renminbi, daily average",0.1857
2023-06-16,"Chinese renminbi, daily average",0.1852
2023-06-17,"Chinese renminbi, daily average",
2023-06-18,"Chinese renminbi, daily average",
2023-06-19,"Chinese renminbi, daily average",0.1844
2023-06-20,"Chinese renminbi, daily average",0.1844
2023-06-21,"Chinese renminbi, daily average",0.1836
2023-06-22,"Chinese renminbi, daily average",0.1833
2023-06-23,"Chinese renminbi, daily average",0.1838
2023-06-24,"Chinese renminbi, daily average",
2023-06-25,"Chinese renminbi, daily average",
2023-06-26,"Chinese renminbi, daily average",0.1817
2023-06-27,"Chinese renminbi, daily average",0.1825
2023-06-28,"Chinese renminbi, daily average",0.1829
2023-06-29,"Chinese renminbi, daily average",0.1828
2023-06-30,"Chinese renminbi, daily average",0.1825
2023-07-01,"Chinese renminbi, daily average",
2023-07-02,"Chinese renminbi, daily average",
2023-07-03,"Chinese renminbi, daily average",
2023-07-04,"Chinese renminbi, daily average",0.1832
2023-07-05,"Chinese renminbi, daily average",0.1832
2023-07-06,"Chinese renminbi, daily average",0.1841
2023-07-07,"Chinese renminbi, daily average",0.184
2023-07-08,"Chinese renminbi, daily average",
2023-07-09,"Chinese renminbi, daily average",
2023-07-10,"Chinese renminbi, daily average",0.1836
2023-07-11,"Chinese renminbi, daily average",0.1839
2023-07-12,"Chinese renminbi, daily average",0.1839
2023-07-13,"Chinese renminbi, daily average",0.1835
2023-07-14,"Chinese renminbi, daily average",0.1846
2023-07-15,"Chinese renminbi, daily average",
2023-07-16,"Chinese renminbi, daily average",
2023-07-17,"Chinese renminbi, daily average",0.1839
2023-07-18,"Chinese renminbi, daily average",0.1837
2023-07-19,"Chinese renminbi, daily average",0.1823
2023-07-20,"Chinese renminbi, daily average",0.1836
2023-07-21,"Chinese renminbi, daily average",0.1839
2023-07-22,"Chinese renminbi, daily average",
2023-07-23,"Chinese renminbi, daily average",
2023-07-24,"Chinese renminbi, daily average",0.1833
2023-07-25,"Chinese renminbi, daily average",0.1847
2023-07-26,"Chinese renminbi, daily average",0.1849
2023-07-27,"Chinese renminbi, daily average",0.1841
2023-07-28,"Chinese renminbi, daily average",0.185
2023-07-29,"Chinese renminbi, daily average",
2023-07-30,"Chinese renminbi, daily average",
2023-07-31,"Chinese renminbi, daily average",0.1844
2023-08-01,"Chinese renminbi, daily average",0.1852
2023-08-02,"Chinese renminbi, daily average",0.1855
2023-08-03,"Chinese renminbi, daily average",0.1862
2023-08-04,"Chinese renminbi, daily average",0.1862
2023-08-05,"Chinese renminbi, daily average",
2023-08-06,"Chinese renminbi, daily average",
2023-08-07,"Chinese renminbi, daily average",
2023-08-08,"Chinese renminbi, daily average",0.1864
2023-08-09,"Chinese renminbi, daily average",0.1863
2023-08-10,"Chinese renminbi, daily average",0.1859
2023-08-11,"Chinese renminbi, daily average",0.1858
2023-08-12,"Chinese renminbi, daily average",
2023-08-13,"Chinese renminbi, daily average",
2023-08-14,"Chinese renminbi, daily average",0.1854
2023-08-15,"Chinese renminbi, daily average",0.1851
2023-08-16,"Chinese renminbi, daily average",0.1852
2023-08-17,"Chinese renminbi, daily average",0.1855
2023-08-18,"Chinese renminbi, daily average",0.186
2023-08-19,"Chinese renminbi, daily average",
